,Ironman,Identity,Align,Eye,Hair,Sex,Alive,Appearances,First Appearance,Year
67,radium (human) (earth-616),None,bad characters,None,no hair,None,living characters,1.0,oct-79,1979.0
68,raymond sikorski (earth-616),public identity,good characters,brown eyes,brown hair,male characters,living characters,29.0,sep-83,1983.0
69,talisman (australian) (earth-616),secret identity,good characters,brown eyes,black hair,male characters,living characters,7.0,jun-82,1982.0
70,constantius (earth-616),public identity,bad characters,None,None,male characters,deceased characters,1.0,apr-75,1975.0
71,dargil (earth-616),secret identity,bad characters,None,None,male characters,living characters,3.0,sep-98,1998.0
72,lenny ballinger (earth-616),public identity,good characters,black eyes,brown hair,male characters,living characters,23.0,may-89,1989.0
73,martin bastelli (earth-616),None,None,brown eyes,black hair,male characters,living characters,6.0,sep-05,2005.0
74,otmu (earth-616),secret identity,neutral characters,None,no hair,male characters,living characters,1.0,oct-90,1990.0
75,peter scholl (earth-616),None,bad characters,brown eyes,bald,male characters,deceased characters,2.0,dec-08,2008.0
76,doop (earth-616),no dual identity,good characters,variable eyes,black hair,male characters,living characters,113.0,jul-01,2001.0
77,alice evans (earth-616),no dual identity,good characters,None,blond hair,female characters,living characters,1.0,nov-60,1960.0
78,shadow stalker (earth-616),None,bad characters,None,bald,male characters,living characters,3.0,mar-75,1975.0
79,bailey mathius (earth-616),no dual identity,None,None,None,male characters,living characters,3.0,dec-03,2003.0
80,number 5 (sentinel) (earth-616),None,bad characters,None,None,None,deceased characters,1.0,aug-69,1969.0
81,fantasma (dark ocean society) (earth-616),secret identity,bad characters,None,black hair,female characters,living characters,5.0,None,None
82,hymir (earth-616),None,None,None,grey hair,male characters,living characters,1.0,jul-78,1978.0
83,flash finnigan (earth-616),public identity,good characters,None,blond hair,female characters,living characters,2.0,dec-52,1952.0
84,von gukk (earth-616),no dual identity,bad characters,None,bald,male characters,living characters,1.0,jun-43,1943.0
85,yi yang (earth-616),None,bad characters,green eyes,black hair,female characters,living characters,15.0,jun-79,1979.0
86,aiko miyazaki (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,15.0,sep-98,1998.0
87,val (earth-616),public identity,good characters,blue eyes,brown hair,male characters,living characters,7.0,oct-00,2000.0
88,dusk (demon) (earth-616),None,bad characters,None,None,None,living characters,9.0,jan-94,1994.0
89,ikthon (earth-616),public identity,bad characters,None,black hair,male characters,living characters,14.0,nov-68,1968.0
90,master of the sun (earth-616),secret identity,good characters,None,white hair,male characters,living characters,3.0,jan-76,1976.0
91,bamboo knife butcher (earth-616),secret identity,bad characters,None,grey hair,male characters,deceased characters,1.0,dec-44,1944.0
92,john cheever (earth-616),None,neutral characters,None,None,male characters,living characters,6.0,sep-78,1978.0
93,ultron (earth-616),no dual identity,bad characters,red eyes,no hair,male characters,deceased characters,181.0,jul-68,1968.0
94,jonathan storm (counter-earth) (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,1.0,jun-73,1973.0
95,mazinger z (earth-616),None,None,None,None,None,living characters,1.0,feb-79,1979.0
96,cole yorby (earth-616),public identity,bad characters,None,black hair,male characters,living characters,1.0,apr-69,1969.0
97,dragonfire (earth-616),None,None,None,None,male characters,deceased characters,5.0,jun-79,1979.0
98,lepard (earth-616),secret identity,good characters,None,None,male characters,deceased characters,7.0,nov-66,1966.0
99,chili storm (earth-616),public identity,None,green eyes,red hair,female characters,living characters,284.0,oct-48,1948.0
100,pisces (female lmd) (earth-616),None,None,None,blond hair,female characters,living characters,4.0,aug-77,1977.0
101,terdu (earth-616),secret identity,bad characters,None,black hair,male characters,deceased characters,1.0,mar-45,1945.0
102,tyro (earth-616),public identity,good characters,orange eyes,no hair,male characters,living characters,4.0,may-08,2008.0
103,veritas (earth-616),None,neutral characters,None,None,male characters,living characters,1.0,mar-67,1967.0
104,kehl (earth-616),public identity,bad characters,None,no hair,male characters,living characters,3.0,may-85,1985.0
105,anton vanko (whiplash) (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,living characters,16.0,jan-10,2010.0
106,red shift (earth-616),secret identity,None,None,None,male characters,deceased characters,13.0,sep-99,1999.0
107,kurani (earth-616),public identity,None,red eyes,no hair,None,living characters,2.0,mar-07,2007.0
108,zedrao (earth-616),secret identity,bad characters,green eyes,no hair,male characters,living characters,7.0,apr-82,1982.0
109,eliot franklin (thunderball) (earth-616),public identity,bad characters,brown eyes,black hair,male characters,living characters,146.0,nov-74,1974.0
110,azunbulxibar (earth-616),secret identity,None,None,None,male characters,living characters,1.0,jun-89,1989.0
111,kathryn worthington (earth-616),public identity,good characters,blue eyes,blond hair,female characters,deceased characters,19.0,nov-65,1965.0
112,beemer (earth-616),None,bad characters,None,bald,male characters,living characters,11.0,jun-03,2003.0
113,barb (employee of arcade) (earth-616),secret identity,None,yellow eyes,no hair,male characters,living characters,2.0,jun-94,1994.0
114,clayton wojciehowicz (earth-616),public identity,bad characters,black eyes,bald,male characters,deceased characters,3.0,may-08,2008.0
115,madame hydra (heroes reborn) (earth-616),None,bad characters,None,None,female characters,deceased characters,5.0,nov-96,1996.0
116,victor von doom (impostor) (earth-616),secret identity,bad characters,red eyes,None,male characters,living characters,2.0,sep-92,1992.0
117,kaa (earth-616),secret identity,bad characters,None,None,male characters,deceased characters,6.0,dec-60,1960.0
118,xa (earth-616),None,bad characters,None,red hair,female characters,living characters,5.0,dec-90,1990.0
119,black maria (earth-616),secret identity,neutral characters,white eyes,black hair,female characters,living characters,3.0,dec-07,2007.0
120,richard jones (phantom reporter) (earth-616),secret identity,good characters,blue eyes,red hair,male characters,living characters,19.0,apr-40,1940.0
121,melvin scarbo (earth-616),secret identity,bad characters,brown eyes,bald,male characters,living characters,9.0,mar-70,1970.0
122,bront (earth-616),no dual identity,bad characters,None,no hair,male characters,living characters,3.0,apr-93,1993.0
123,heinrich zemo (heroes reborn) (earth-616),public identity,bad characters,None,None,male characters,deceased characters,7.0,apr-97,1997.0
124,gilbert benson (earth-616),secret identity,neutral characters,None,brown hair,male characters,deceased characters,6.0,aug-91,1991.0
125,loki laufeyson (kid loki) (earth-616),secret identity,good characters,green eyes,black hair,male characters,deceased characters,13.0,jan-11,2011.0
126,alec maloni (earth-616),no dual identity,good characters,None,None,male characters,living characters,4.0,apr-96,1996.0
127,kai-ra (earth-616),secret identity,bad characters,None,no hair,male characters,living characters,2.0,may-92,1992.0
128,kwill (earth-616),secret identity,None,None,None,male characters,deceased characters,1.0,dec-85,1985.0
129,eugene mason (earth-616),secret identity,None,None,blond hair,male characters,deceased characters,5.0,may-84,1984.0
130,khufor (earth-616),public identity,bad characters,blue eyes,no hair,male characters,living characters,4.0,sep-40,1940.0
131,tityus (earth-616),public identity,None,None,black hair,male characters,living characters,2.0,jun-94,1994.0
132,price (worldengine) (earth-616),public identity,bad characters,blue eyes,white hair,male characters,deceased characters,2.0,jan-96,1996.0
133,xanto starblood (earth-616),secret identity,bad characters,purple eyes,no hair,male characters,living characters,8.0,apr-12,2012.0
134,brag beaver (earth-616),secret identity,bad characters,None,black hair,male characters,deceased characters,1.0,jul-51,1951.0
135,zoran (earth-616),no dual identity,bad characters,None,black hair,male characters,deceased characters,3.0,oct-07,2007.0
136,sasha (earth-616),public identity,good characters,None,blond hair,female characters,living characters,3.0,aug-04,2004.0
137,wanda maximoff (skrull) (earth-616),secret identity,bad characters,green eyes,no hair,female characters,living characters,3.0,jun-08,2008.0
138,klara prast (earth-616),secret identity,good characters,blue eyes,black hair,female characters,living characters,29.0,aug-07,2007.0
139,lawrence chesney (earth-616),secret identity,None,brown eyes,brown hair,male characters,living characters,15.0,aug-75,1975.0
140,consultant (earth-616),secret identity,bad characters,black eyes,no hair,male characters,living characters,15.0,apr-06,2006.0
141,ghostly terrill (earth-616),public identity,bad characters,None,white hair,male characters,deceased characters,1.0,dec-44,1944.0
142,ho yinsen (earth-616),public identity,good characters,brown eyes,white hair,male characters,deceased characters,32.0,mar-63,1963.0
143,harlan krueger (earth-616),secret identity,bad characters,blue eyes,bald,male characters,deceased characters,14.0,nov-73,1973.0
144,iann-23 (earth-616),public identity,good characters,blue eyes,no hair,male characters,living characters,41.0,jan-82,1982.0
145,"charles, prince of wales (earth-616)",public identity,good characters,None,grey hair,male characters,living characters,2.0,None,None
146,doctor necrosis (earth-616),public identity,bad characters,None,bald,male characters,deceased characters,1.0,mar-44,1944.0
147,mist (earth-616),secret identity,good characters,None,blond hair,female characters,living characters,7.0,None,None
148,opal tanaka (earth-616),no dual identity,None,blue eyes,black hair,female characters,living characters,26.0,feb-90,1990.0
149,top man (earth-616),None,bad characters,black eyes,black hair,male characters,living characters,3.0,aug-70,1970.0
150,borya cich (earth-616),no dual identity,bad characters,blue eyes,bald,male characters,deceased characters,6.0,oct-12,2012.0
151,bereet (earth-616),no dual identity,None,red eyes,no hair,female characters,living characters,17.0,mar-82,1982.0
152,dormammu (earth-616),no dual identity,bad characters,yellow eyes,no hair,male characters,living characters,132.0,nov-64,1964.0
153,william knox (earth-616),secret identity,bad characters,None,brown hair,male characters,living characters,6.0,jul-92,1992.0
154,martha davis (earth-616),public identity,good characters,None,brown hair,female characters,living characters,1.0,aug-40,1940.0
155,protozoan porter (legion personality) (earth-616),secret identity,neutral characters,None,no hair,None,living characters,2.0,None,None
156,gazer (earth-616),secret identity,neutral characters,green eyes,green hair,male characters,deceased characters,12.0,jun-05,2005.0
157,witness (1949) (earth-616),secret identity,neutral characters,None,None,male characters,living characters,5.0,jan-49,1949.0
158,leyla (earth-616),None,bad characters,None,None,female characters,living characters,4.0,jun-04,2004.0
159,eugene van der merwe (earth-616),public identity,bad characters,None,None,male characters,living characters,4.0,jun-89,1989.0
160,eluke (earth-616),public identity,good characters,white eyes,None,male characters,deceased characters,2.0,jul-80,1980.0
161,keep (earth-616),public identity,bad characters,None,None,male characters,living characters,4.0,aug-12,2012.0
162,steve rubino (earth-616),None,None,None,None,male characters,living characters,9.0,may-91,1991.0
163,"nick lewis, jr. (earth-616)",secret identity,bad characters,brown eyes,black hair,male characters,living characters,4.0,nov-75,1975.0
164,apalla (earth-616),secret identity,None,None,red hair,female characters,living characters,6.0,apr-77,1977.0
165,sarah stacy (earth-616),no dual identity,good characters,blue eyes,blond hair,female characters,living characters,15.0,aug-04,2004.0
166,ereshkigal (goddess) (earth-616),None,bad characters,blue eyes,black hair,female characters,living characters,2.0,oct-82,1982.0
167,zar (nowhere) (earth-616),no dual identity,bad characters,None,white hair,male characters,living characters,1.0,dec-42,1942.0
168,tyrr (earth-616),public identity,neutral characters,None,brown hair,male characters,living characters,2.0,sep-72,1972.0
169,min li ng (earth-616),secret identity,bad characters,brown eyes,black hair,female characters,living characters,13.0,jan-91,1991.0
170,dogma (earth-616),secret identity,bad characters,None,no hair,male characters,living characters,3.0,aug-02,2002.0
171,william young (earth-616),None,bad characters,brown eyes,black hair,male characters,deceased characters,5.0,jun-75,1975.0
172,creature from krogarr (earth-616),secret identity,bad characters,None,None,male characters,living characters,3.0,nov-61,1961.0
173,marci camp (earth-616),secret identity,bad characters,blue eyes,None,female characters,living characters,2.0,None,None
174,george whitaker (earth-616),public identity,neutral characters,None,None,male characters,deceased characters,1.0,dec-45,1945.0
175,tragg (earth-616),None,bad characters,None,None,male characters,living characters,3.0,oct-71,1971.0
176,ms. welsh (earth-616),public identity,None,None,brown hair,female characters,living characters,1.0,dec-85,1985.0
177,juan luis fernandez (earth-616),secret identity,bad characters,None,black hair,male characters,deceased characters,1.0,nov-48,1948.0
178,kan (earth-616),no dual identity,neutral characters,None,bald,male characters,living characters,2.0,oct-80,1980.0
179,kray-tor (earth-616),public identity,None,None,no hair,male characters,deceased characters,17.0,jun-75,1975.0
180,colleen wing (earth-616),public identity,good characters,blue eyes,auburn hair,female characters,living characters,175.0,nov-74,1974.0
181,jonathan caesar (earth-616),public identity,bad characters,blue eyes,blond hair,male characters,deceased characters,13.0,sep-88,1988.0
182,frank rambeau (earth-616),public identity,good characters,None,white hair,male characters,living characters,10.0,aug-84,1984.0
183,jeanne chretien (earth-616),secret identity,neutral characters,None,None,female characters,living characters,2.0,dec-85,1985.0
184,sayf ad-din abu bakr al-malik al-adil (earth-616),public identity,good characters,None,black hair,male characters,living characters,1.0,aug-90,1990.0
185,carmen nobili (earth-616),public identity,bad characters,brown eyes,bald,male characters,deceased characters,5.0,None,None
186,jimmy everett (earth-616),None,good characters,blue eyes,blond hair,male characters,living characters,3.0,None,None
187,count lust (earth-616),secret identity,bad characters,None,bald,male characters,deceased characters,1.0,sep-43,1943.0
188,jack williams (earth-616),public identity,bad characters,None,black hair,male characters,living characters,2.0,jul-45,1945.0
189,martin goodman (earth-616),public identity,good characters,None,black hair,male characters,living characters,2.0,aug-42,1942.0
190,talan (earth-616),public identity,good characters,None,black hair,male characters,deceased characters,2.0,feb-94,1994.0
191,dafydd ap iowerth (earth-616),public identity,good characters,blue eyes,black hair,male characters,living characters,4.0,mar-89,1989.0
192,matilda von tromp (earth-616),secret identity,bad characters,None,red hair,female characters,living characters,4.0,jan-76,1976.0
193,anton vanko (heroes reborn) (earth-616),public identity,bad characters,None,None,male characters,deceased characters,2.0,aug-97,1997.0
194,justicar (earth-616),public identity,neutral characters,None,None,female characters,deceased characters,3.0,apr-13,2013.0
195,sigyn (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,22.0,sep-78,1978.0
196,megara (earth-616),None,good characters,None,None,female characters,deceased characters,4.0,sep-05,2005.0
197,spence williams (earth-616),public identity,good characters,None,red hair,male characters,living characters,2.0,apr-02,2002.0
198,maria hill (earth-616),no dual identity,good characters,brown eyes,black hair,female characters,living characters,325.0,apr-05,2005.0
199,arthur dearborn (earth-616),secret identity,neutral characters,blue eyes,brown hair,male characters,living characters,15.0,feb-81,1981.0
200,jonathan n. york (earth-616),secret identity,bad characters,None,None,male characters,living characters,3.0,aug-09,2009.0
201,scaldings (earth-616),None,bad characters,None,None,None,living characters,2.0,oct-95,1995.0
202,daniel fielstein (earth-616),public identity,good characters,None,black hair,male characters,living characters,24.0,nov-90,1990.0
203,steven coffin (earth-616),public identity,good characters,blue eyes,brown hair,male characters,living characters,8.0,feb-79,1979.0
204,sarah garza (earth-616),no dual identity,good characters,black eyes,brown hair,female characters,living characters,2.0,None,None
205,unipar (earth-616),public identity,bad characters,None,blond hair,male characters,living characters,3.0,sep-87,1987.0
206,buck cowan (earth-616),no dual identity,good characters,None,brown hair,male characters,living characters,42.0,jun-72,1972.0
207,frank farnum (earth-616),None,bad characters,brown eyes,black hair,male characters,living characters,28.0,may-66,1966.0
208,jonathan bryant (human) (earth-616),public identity,neutral characters,blue eyes,brown hair,male characters,deceased characters,5.0,sep-08,2008.0
209,jenna cole (earth-616),public identity,good characters,blue eyes,white hair,female characters,living characters,4.0,mar-09,2009.0
210,jacob fury (earth-616),secret identity,neutral characters,blue eyes,brown hair,male characters,living characters,30.0,aug-67,1967.0
211,buck richlen (earth-616),no dual identity,bad characters,None,blond hair,male characters,living characters,6.0,dec-78,1978.0
212,nestor garcia (earth-616),no dual identity,None,black eyes,black hair,male characters,living characters,5.0,jan-04,2004.0
213,astarte (earth-616),secret identity,bad characters,None,brown hair,female characters,living characters,2.0,aug-99,1999.0
214,dicero (earth-616),secret identity,good characters,None,grey hair,male characters,living characters,2.0,jul-08,2008.0
215,frank scalise (earth-616),secret identity,None,None,None,male characters,living characters,5.0,apr-79,1979.0
216,denebo aruc iii (earth-616),public identity,None,None,bald,male characters,deceased characters,3.0,apr-06,2006.0
217,kraa (luphomoid) (earth-616),public identity,bad characters,white eyes,None,male characters,living characters,2.0,mar-95,1995.0
218,greta abbott (earth-616),public identity,bad characters,None,blond hair,female characters,deceased characters,4.0,feb-06,2006.0
219,keerg (earth-616),public identity,bad characters,None,black hair,male characters,living characters,4.0,apr-98,1998.0
220,moru (earth-616),public identity,None,black eyes,brown hair,male characters,deceased characters,6.0,aug-94,1994.0
221,ghost of the antarctic (earth-616),secret identity,neutral characters,None,None,female characters,living characters,1.0,jun-54,1954.0
222,freddy sykes (earth-616),secret identity,bad characters,None,brown hair,male characters,living characters,4.0,mar-60,1960.0
223,niko constantin (earth-616),secret identity,bad characters,None,brown hair,male characters,living characters,2.0,jun-11,2011.0
224,celia rawlings (earth-616),None,good characters,None,None,female characters,deceased characters,4.0,sep-65,1965.0
225,william goldman (earth-616),None,None,None,None,male characters,living characters,1.0,jul-89,1989.0
226,lothithanriaxiaxus (earth-616),public identity,None,None,green hair,male characters,living characters,2.0,jan-10,2010.0
227,kaldera (earth-616),public identity,bad characters,None,brown hair,female characters,living characters,2.0,None,None
228,sybil (earth-616),secret identity,bad characters,None,bald,female characters,living characters,3.0,sep-97,1997.0
229,michael duffy (earth-616),public identity,good characters,None,brown hair,male characters,deceased characters,82.0,mar-41,1941.0
230,tarianna (earth-616),public identity,good characters,green eyes,red hair,female characters,living characters,12.0,jun-84,1984.0
231,velasquesa (earth-616),public identity,bad characters,None,white hair,male characters,deceased characters,4.0,jan-47,1947.0
232,emma malone (earth-616),secret identity,good characters,blue eyes,white hair,female characters,living characters,4.0,oct-93,1993.0
233,maya teraxtola (earth-616),None,None,None,blond hair,female characters,living characters,10.0,mar-93,1993.0
234,black swan (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,deceased characters,10.0,may-02,2002.0
235,gallery (earth-616),public identity,bad characters,None,None,male characters,living characters,1.0,mar-47,1947.0
236,sentinel mk iii (earth-616),no dual identity,bad characters,yellow eyes,no hair,None,deceased characters,12.0,dec-75,1975.0
237,kuan-yin xorn (earth-616),secret identity,bad characters,None,None,male characters,deceased characters,41.0,sep-01,2001.0
238,tath ki (earth-616),secret identity,good characters,blue eyes,bald,male characters,living characters,28.0,jun-76,1976.0
239,bron (earth-616),public identity,good characters,None,brown hair,male characters,living characters,6.0,oct-00,2000.0
240,alpha (mad thinker robot) (earth-616),no dual identity,bad characters,white eyes,no hair,male characters,living characters,1.0,may-83,1983.0
241,ogun (loa) (earth-616),None,bad characters,None,None,male characters,living characters,3.0,may-90,1990.0
242,ultimaton (earth-616),secret identity,good characters,None,no hair,male characters,living characters,18.0,aug-03,2003.0
243,zoroaster (earth-616),None,bad characters,white eyes,black hair,None,living characters,2.0,aug-94,1994.0
244,jamal afari (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,5.0,sep-75,1975.0
245,lance gwynn (earth-616),None,bad characters,None,None,male characters,living characters,2.0,aug-97,1997.0
246,laura kinney (earth-616),secret identity,good characters,green eyes,black hair,female characters,living characters,265.0,feb-04,2004.0
247,tommy tomkins (earth-616),public identity,None,None,white hair,male characters,living characters,3.0,jul-66,1966.0
248,roland burroughs (earth-616),secret identity,bad characters,blue eyes,None,male characters,deceased characters,29.0,jun-80,1980.0
249,anzehlika medvedev (earth-616),no dual identity,neutral characters,blue eyes,black hair,female characters,living characters,2.0,jun-02,2002.0
250,rose delany (earth-616),public identity,neutral characters,green eyes,blond hair,female characters,deceased characters,5.0,jul-03,2003.0
251,torrak (earth-616),None,None,None,no hair,male characters,living characters,2.0,jul-62,1962.0
252,cartwright (earth-616),None,None,black eyes,grey hair,male characters,living characters,1.0,mar-66,1966.0
253,danny grogan (earth-616),no dual identity,bad characters,None,brown hair,male characters,living characters,1.0,jun-46,1946.0
254,monk theppie (earth-616),secret identity,bad characters,None,bald,male characters,deceased characters,3.0,dec-08,2008.0
255,scar (earth-616),secret identity,bad characters,None,bald,male characters,deceased characters,1.0,oct-41,1941.0
256,dennis wells (earth-616),None,good characters,brown eyes,brown hair,male characters,living characters,4.0,jun-12,2012.0
257,barry gwynn (earth-616),secret identity,neutral characters,None,grey hair,male characters,living characters,2.0,may-08,2008.0
258,dormouse (earth-616),None,bad characters,None,None,male characters,living characters,2.0,apr-98,1998.0
259,bambina arbogast (earth-616),no dual identity,good characters,blue eyes,black hair,female characters,living characters,125.0,jan-79,1979.0
260,demiurge (earth-616),None,None,None,None,None,living characters,1.0,oct-82,1982.0
261,danad (earth-616),no dual identity,neutral characters,None,no hair,male characters,living characters,1.0,feb-69,1969.0
262,super-adaptoid (heroes reborn) (earth-616),None,good characters,None,None,None,living characters,2.0,sep-97,1997.0
263,jack power (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,living characters,106.0,aug-84,1984.0
264,jonathan powell (earth-616),None,neutral characters,None,None,male characters,living characters,46.0,mar-91,1991.0
265,hippolyta (earth-616),secret identity,neutral characters,blue eyes,blond hair,female characters,living characters,27.0,apr-66,1966.0
266,charr (earth-616),public identity,None,red eyes,bald,male characters,deceased characters,2.0,sep-06,2006.0
267,victoria donnely (earth-616),secret identity,good characters,None,blond hair,female characters,living characters,2.0,feb-00,2000.0
268,driver reese (earth-616),None,neutral characters,green eyes,black hair,female characters,deceased characters,3.0,feb-11,2011.0
